ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
909,4493430,4493430,0,909
910,2559180,2559180,0,910
911,2333200,2333200,0,911
912,3395940,3395940,0,912
913,2262600,2262600,0,913
914,635790,635790,0,914
915,578189,578189,0,915
916,609041,609041,0,916
917,883781,883781,0,917
918,1676550,1676550,0,918
919,1284160,1284160,0,919
920,1981740,1981740,0,920
921,20029700,20029700,0,921
922,2588490,2588490,0,922
923,1485060,1485060,0,923
924,2507110,2507110,0,924
925,1949650,1949650,0,925
926,2678750,2678750,0,926
927,1538700,1538700,0,927
928,1798660,1459600,339060,928
929,817418,817418,0,929
930,2444950,2444950,0,930
931,1927860,1927860,0,931
932,38502900,38502900,0,932
933,7743860,7743860,0,933
934,31757700,31757700,0,934
935,22568500,22568500,0,935
936,2621450,815161,1806289,936
937,860452,860452,0,937
938,13279300,13279300,0,938
939,35329800,59651300,-24321500,939
940,17217700,17217700,0,940
941,56444200,56444200,0,941
942,1424720,1424720,0,942
943,9791180,9791180,0,943
944,1737600,1737600,0,944
945,4547600,3045020,1502580,945
946,8593330,8593330,0,946
947,999470,999470,0,947
948,1576150,1576150,0,948
949,1067630,1067630,0,949
950,78745300,78745300,0,950
951,577770,577770,0,951
952,16673500,16673500,0,952
953,6427830,6427830,0,953
954,17490300,17490300,0,954
955,8605730,8605730,0,955
956,4973310,4973310,0,956
957,22206300,22206300,0,957
958,4448240,4448240,0,958
959,6239070,6239070,0,959
960,2059840,2059840,0,960
961,16355200,16355200,0,961
962,2965760,4198380,-1232620,962
963,349859000,349859000,0,963
964,379476000,379476000,0,964
965,324127000,324127000,0,965
966,437372000,437372000,0,966
967,406214000,406214000,0,967
968,675197000,675197000,0,968
